,Immature nptxEX,VLMC,CP,dNBL1,Immature MSN,dNBL2,Immature CMPN,dEGC,dNBL3,Immature cckIN,Immature dpEX,dNBL4,Immature DMIN,wntEGC,sfrpEGC,Immature mpEX,dNBL5,nptxEX,MSN,sstIN,Unknown,tlNBL,dpEX,MCG,CMPN,npyIN,cckIN,scgnIN,ribEGC,mpEX,ntng1IN,mpIN
Immature nptxEX,6.2915406,5.32373,6.211784,8.496233,6.245323,7.1206846,5.4040594,7.382091,2.9099193,9.791886,7.131937,8.834257,9.247103,6.935741,6.2855244,8.747313,8.900617,4.477404,3.311623,3.4438186,1.554872,3.9460664,2.9647632,1.7421288,1.175566,0.5807547,4.120085,2.8409169,2.7287312,2.8627198,4.5009003,3.0201645
VLMC,6.2715645,5.8576937,7.6798525,8.979455,6.780169,8.758714,6.9861712,9.342771,4.0253754,10.781607,7.120392,10.003205,9.499787,8.756234,8.740875,9.191435,10.742508,4.839507,3.9535446,3.990466,2.533012,5.001265,4.1051803,2.8559089,2.8123462,1.0838517,4.523013,4.379114,4.3442545,3.9865136,6.02691,4.220634
CP,6.7250385,7.115287,8.328999,9.175561,7.525176,8.44935,6.3021917,9.51814,3.997765,10.644283,7.6378965,9.375917,10.048701,9.404586,8.815195,10.2694025,10.618401,4.8247633,4.6543865,4.006678,2.019205,5.518662,4.09834,2.8448966,2.2673225,1.1214308,5.1396837,3.8566303,3.582485,3.9456708,5.4913507,4.199194
dNBL1,6.7137146,7.34683,8.640913,8.865097,6.7194934,7.6704803,6.2460227,9.752663,3.1530254,10.804916,7.863488,8.600879,10.423571,8.413977,7.2035155,10.436855,10.957541,4.7568083,3.9372778,3.4105828,1.9951617,4.778554,3.5036173,2.6820064,1.8064055,1.0285807,4.3768044,3.7051313,2.8198285,3.3790488,5.351112,3.5817118
Immature MSN,5.6994886,5.2755976,5.990656,7.7014413,5.585792,5.707283,4.737089,6.612306,2.6454341,8.436185,5.5627313,7.1223817,9.044149,6.2250056,5.243286,7.9125667,8.020299,4.181959,3.2944071,2.8598213,1.4772834,3.7083838,2.9571779,1.2637562,1.2357347,0.47388473,3.7702408,2.7337725,1.779772,2.8425717,4.259871,2.9803038
dNBL2,7.3946133,7.651824,8.271981,9.250168,7.5192356,8.419825,6.755222,9.564216,3.4864202,10.891605,7.899384,9.86703,10.891703,8.808502,8.1619835,10.5497875,11.219252,5.002592,4.271277,3.9530137,2.5541234,5.509503,3.9387338,2.3623827,2.2950783,1.1433132,4.821001,3.9561784,3.6213684,3.7962265,5.6400614,4.1883383
Immature CMPN,4.0255384,2.77494,4.8601813,6.1839676,4.4815903,5.0732846,4.3406115,5.686871,2.146942,7.21628,4.3681192,6.015935,6.657691,5.1700234,4.4269085,5.810421,7.218978,3.1010652,2.3760407,2.3444982,1.4539967,2.8211,2.4103274,0.7402795,0.7787278,0.0,2.953146,2.0662267,1.449676,2.333506,3.6242657,2.443806
dEGC,5.538033,6.581785,7.4310303,7.3927307,6.1506047,5.82773,5.627495,8.839659,2.6174479,9.098629,6.1761274,6.7719126,8.660887,8.764203,7.126621,9.353771,9.843817,3.4973652,3.5917256,2.6612928,1.1674564,4.433144,2.7615242,2.4658067,1.1507256,0.62992644,4.015369,3.0579727,2.556146,2.6377246,4.535762,2.8096616
dNBL3,2.6958902,1.6124315,3.1993136,2.5379422,2.2253835,2.8298943,2.1810694,3.3061612,1.2364936,3.2324846,2.2497208,4.150075,2.9295356,3.0613387,2.9321978,2.9060059,4.461309,2.016541,0.5736098,1.2546525,1.1868625,1.5158296,1.2523088,0.42614177,0.5638081,0.0,1.0614259,1.2357223,1.0676203,1.1789148,1.895936,1.3510978
Immature cckIN,6.77202,6.498798,7.4677906,9.206301,6.8215275,6.887951,5.3529644,8.281583,2.7284985,10.401506,7.1762505,8.469116,10.365436,7.5651884,6.914377,9.638639,9.615298,4.3731985,3.9144342,3.46662,1.5046334,4.405369,2.9912598,1.8422718,1.2454869,1.0894877,4.5672774,2.757809,2.4729884,2.880516,4.3267293,3.0204074
Immature dpEX,8.883183,8.529835,8.758283,11.428024,8.987599,9.528786,7.5925627,10.1011915,4.0987654,12.890498,9.711623,11.129297,12.754042,9.19414,8.5497875,12.359617,11.838812,5.7827454,5.4449825,5.383156,2.7010841,6.184973,4.653496,2.7894745,2.8382068,1.7858723,6.1356134,4.796962,4.100209,4.4835496,6.569003,4.901902
dNBL4,7.440424,8.162458,9.835925,9.2772455,7.4852457,8.450311,7.1941037,10.536405,3.376839,11.818368,8.714203,9.330899,11.268624,9.415852,7.6845894,11.969126,12.025699,4.9437094,4.229407,3.8485582,2.410474,5.4957714,3.842813,2.8807874,2.223836,1.0989356,4.752962,4.3163033,3.10014,3.6973512,6.0669184,4.0941396
Immature DMIN,5.285562,5.0310926,6.4867563,7.559476,5.0198984,5.896074,4.809833,7.4674964,2.1995573,9.19187,7.0783677,7.0886245,8.258616,6.257036,4.7856045,8.641993,8.804529,3.901294,2.7251701,2.8669376,1.4856124,2.81911,2.409944,1.1904638,0.7722841,0.56126857,3.4774566,2.5828514,1.2251327,2.335625,4.2451572,2.4456668
wntEGC,6.443801,8.976451,9.085198,8.535461,6.8831563,8.375411,6.321309,10.345764,3.727276,11.457413,8.480931,8.9259615,10.393462,9.6993065,8.390797,11.506093,11.91777,4.5502872,4.541215,3.161643,1.5167451,4.902351,3.2877817,3.069911,1.4124211,1.3895054,5.0786777,3.7975845,3.7567143,3.2103806,5.6760626,3.7538168
sfrpEGC,7.0882473,9.081085,9.917699,9.5439825,7.884389,9.143691,7.699953,12.40342,4.1224327,12.281895,9.24141,9.39871,11.143787,11.88728,9.437399,12.284515,13.35901,4.882121,5.0072513,4.1462708,2.5154676,5.803451,3.744039,3.2751982,2.5533555,1.9263356,5.4743357,5.122897,4.255945,3.6292036,6.90945,4.2680545
Immature mpEX,8.807243,9.419173,9.4932375,11.450269,8.977875,10.162662,8.138534,11.406201,4.6873527,13.260295,9.6425085,11.9590435,13.203888,10.963277,10.373541,12.280982,12.776316,6.29396,5.762188,5.250005,2.6493554,6.3505282,4.770708,3.4082348,3.2531939,2.1127684,6.4555283,5.237341,5.023938,4.628178,7.0319777,4.896507
dNBL5,6.9485135,8.111159,8.690457,8.910493,7.1009626,7.988285,7.3420606,9.606974,3.3118594,11.048999,7.8405256,8.94955,10.459058,9.706772,8.490681,10.570645,11.76619,4.333091,4.3287125,3.4802365,1.9015521,5.1818333,3.5571027,2.3897617,1.8498498,1.1359181,4.8049994,4.5407896,3.175389,3.4371517,6.283749,4.2511864
nptxEX,4.643487,3.339421,4.027935,5.428728,4.518858,4.6395607,4.126229,4.448086,2.3521616,7.0413084,4.6291456,6.2334156,7.06979,4.2811537,3.3687627,6.1233783,6.2649655,3.7935133,2.1895032,2.2775846,1.4967589,2.7174077,2.3252504,0.61352265,0.6814582,0.0,2.9168432,2.1256459,1.0560713,2.2566276,3.7384446,2.385514
