,Immature nptxEX,VLMC,CP,dNBL1,Immature MSN,dNBL2,Immature CMPN,dEGC,dNBL3,Immature cckIN,Immature dpEX,dNBL4,Immature DMIN,wntEGC,sfrpEGC,Immature mpEX,dNBL5,nptxEX,MSN,sstIN,Unknown,tlNBL,dpEX,MCG,CMPN,npyIN,cckIN,scgnIN,ribEGC,mpEX,ntng1IN,mpIN
Immature nptxEX,6.8823018074035645,10.638167381286621,9.351011276245117,6.659560203552246,6.32436466217041,7.10197114944458,5.890304088592529,6.8984150886535645,0,8.281492233276367,6.294613838195801,7.560141563415527,8.327255249023438,10.445793151855469,7.323876857757568,8.129608154296875,7.432649612426758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLMC,10.077557563781738,18.6309757232666,18.320287704467773,10.93663215637207,6.924900054931641,11.463204383850098,7.72390079498291,11.41332721710205,0,11.972526550292969,9.701648712158203,9.955385208129883,11.536761283874512,17.960779190063477,11.82968521118164,13.13308048248291,10.711017608642578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CP,9.520874977111816,19.5452823638916,20.378875732421875,10.942146301269531,6.9204936027526855,11.206287384033203,7.234437942504883,12.033024787902832,0,11.636870384216309,9.824750900268555,9.302251815795898,10.913211822509766,19.119951248168945,12.298563003540039,13.14716625213623,10.938544273376465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dNBL1,6.8585591316223145,11.316152572631836,10.426688194274902,6.745236396789551,5.344609260559082,6.884345054626465,4.76462459564209,7.1712164878845215,0,7.619556903839111,6.092862129211426,5.716372489929199,7.9667558670043945,10.698838233947754,6.409104347229004,8.082403182983398,7.821380615234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immature MSN,6.134554862976074,8.587570190429688,7.766785621643066,5.633944034576416,5.022192001342773,5.723282814025879,4.652049541473389,5.507382869720459,0,6.562400817871094,4.901758193969727,5.701584339141846,7.583451747894287,8.506647109985352,5.4003520011901855,6.454236030578613,6.428091049194336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dNBL2,7.613138198852539,12.299776077270508,11.461185455322266,7.369553565979004,6.730916500091553,8.10389232635498,5.811877727508545,8.063798904418945,0,8.859807014465332,6.8626556396484375,7.593103408813477,9.31265640258789,11.629341125488281,8.107893943786621,8.988330841064453,8.745121002197266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immature CMPN,4.47376823425293,7.620178699493408,6.562856674194336,4.870332717895508,4.332571029663086,4.824820518493652,4.394655227661133,4.841427803039551,0,5.770986080169678,4.316181659698486,4.938769340515137,5.689823150634766,7.56838321685791,5.008271217346191,5.24757194519043,5.362067699432373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dEGC,6.424487113952637,11.35073184967041,10.860579490661621,6.544436454772949,5.718995571136475,6.311358451843262,4.1809401512146,7.308030128479004,0,7.5549702644348145,6.045318603515625,5.030533790588379,7.500222206115723,10.302573204040527,6.391345977783203,7.649677276611328,7.698554992675781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dNBL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Immature cckIN,6.45048713684082,10.161867141723633,9.297858238220215,6.630291938781738,5.486166954040527,6.555736064910889,4.824777126312256,6.687352180480957,0,7.605662822723389,5.1210784912109375,6.3396077156066895,8.072054862976074,9.719133377075195,6.71317720413208,7.233374118804932,7.23134708404541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
