iter	MultiClass
0	2.604119541
1	2.302010026
2	2.094209929
3	1.915839377
4	1.774359685
5	1.655631455
6	1.557565479
7	1.482127352
8	1.407991171
9	1.336605256
10	1.276243833
11	1.22301497
12	1.176008655
13	1.134575209
14	1.097144502
15	1.063171669
16	1.031748336
17	1.000428145
18	0.9738014699
19	0.9478900295
20	0.9248283657
21	0.9050280309
22	0.883687543
23	0.8647049667
24	0.8479244974
25	0.8320305218
26	0.8165057826
27	0.7998056756
28	0.7861535267
29	0.7727618067
30	0.7590881808
31	0.746814038
32	0.7343853613
33	0.7234137921
34	0.7121768723
35	0.7025941566
36	0.6925614082
37	0.6835947643
38	0.6741739831
39	0.6667808022
40	0.6605918974
41	0.6531293429
42	0.6472349746
43	0.6394098494
44	0.6317509747
45	0.6252968313
46	0.6191971749
47	0.6125236471
48	0.607363372
49	0.6007307012
50	0.5946941473
51	0.5891934181
52	0.5836438146
53	0.5799702197
54	0.5748313423
55	0.5692419621
56	0.5643722213
57	0.5595866266
58	0.5547177665
59	0.5497079952
60	0.5443616839
61	0.5408148431
62	0.5366153989
63	0.5318270324
64	0.5277171293
65	0.5234248297
66	0.519180895
67	0.5154514925
68	0.5104833808
69	0.5064065702
70	0.5022014975
71	0.4988440514
72	0.4947725897
73	0.4911416082
74	0.487420953
75	0.4837434298
76	0.4800354337
77	0.4767143309
78	0.4723492527
79	0.468793598
80	0.4651244796
81	0.4616794838
82	0.4578988466
83	0.4546383119
84	0.45172273
85	0.4486231631
86	0.4455927884
87	0.4420824431
88	0.4389255913
89	0.4354265459
90	0.432602125
91	0.4301634167
92	0.4282549572
93	0.4251053457
94	0.4223413177
95	0.4199658922
96	0.4174367024
97	0.4145971527
98	0.4119244872
99	0.4094818006
