iter	Passed	Remaining
0	294	29136
1	446	21872
2	591	19123
3	756	18149
4	907	17237
5	1062	16647
6	1214	16130
7	1357	15612
8	1515	15321
9	1825	16425
10	2042	16528
11	2195	16102
12	2336	15637
13	2502	15370
14	2665	15102
15	2819	14803
16	2972	14511
17	3116	14197
18	3266	13926
19	3421	13687
20	3601	13549
21	3744	13277
22	3889	13019
23	4035	12778
24	4180	12541
25	4331	12328
26	4480	12113
27	4636	11923
28	4787	11721
29	4932	11508
30	5076	11299
31	5227	11109
32	5376	10914
33	5518	10712
34	5666	10523
35	5807	10323
36	5953	10137
37	6095	9945
38	6237	9755
39	6378	9568
40	6524	9389
41	6676	9219
42	6818	9039
43	6969	8870
44	7121	8704
45	7263	8526
46	7401	8346
47	7578	8209
48	7742	8058
49	7891	7891
50	8039	7723
51	8181	7551
52	8322	7380
53	8473	7218
54	8619	7052
55	8762	6884
56	8912	6723
57	9055	6557
58	9204	6396
59	9352	6234
60	9582	6126
61	9723	5959
62	9864	5793
63	10011	5631
64	10157	5469
65	10294	5303
66	10440	5142
67	10582	4980
68	10726	4819
69	10875	4660
70	11051	4513
71	11188	4351
72	11335	4192
73	11483	4034
74	11637	3879
75	11775	3718
76	11919	3560
77	12065	3403
78	12221	3248
79	12370	3092
80	12531	2939
81	12664	2780
82	12817	2625
83	12961	2468
84	13102	2312
85	13249	2156
86	13401	2002
87	13557	1848
88	13714	1695
89	13868	1540
90	14006	1385
91	14143	1229
92	14278	1074
93	14414	920
94	14570	766
95	14709	612
96	14856	459
97	14991	305
98	15127	152
99	15258	0
